,palavras,quantidade
0,sustentabilidade,313
1,gestão,277
2,energia,242
3,œ,215
4,empresa,214
5,cliente,201
6,serviço,199
7,colaboradore,194
8,risco,192
9,negócio,165
10,política,160
11,objectivo,158
12,portugal,156
13,llllllllll,152
14,programa,149
15,atravé,149
16,actividade,146
17,projecto,139
18,estratégia,131
19,segurança,131
20,trabalho,129
21,desenvolvimento,129
22,sobre,126
23,conselho,123
24,membro,121
25,sociedade,119
26,processo,109
27,área,107
28,relatório,106
29,conselho geral,105
30,supervisão,105
31,ética,104
32,número,104
33,energy relatório,104
34,distribuição,101
35,informação,101
36,co,100
37,emissões,100
38,forma,99
39,nível,99
40,iniciativa,98
41,ano,97
42,rede,97
43,sistema,97
44,mercado,96
45,impacto,95
46,plano,95
47,espanha,92
48,produção,92
49,ainda,91
50,stakeholder,89
51,investimento,88
52,todo,86
53,valor,85
54,desempenho,85
55,consumo,83
56,acordo,79
57,âmbito,79
58,formação,77
59,tema,76
60,índice,76
61,electricidade,75
62,medida,75
63,renovávei,74
64,organização,73
65,redução,73
66,análise,72
67,compromisso,71
68,comissão,71
69,fornecedore,71
70,administração executivo,71
71,euro,69
72,acções,68
73,oportunidade,68
74,avaliação,68
75,conta,67
76,social,67
77,outro,66
78,sector,66
79,global,63
80,saúde,63
81,novo,63
82,código,62
83,aumento,62
84,voluntariado,62
85,pessoa,61
86,cerca,61
87,deste,60
88,comunidade,60
89,princípio,60
90,água,60
91,indicadores,58
92,conjunto,58
93,activo,57
94,competência,57
95,eficiência energética,56
96,obrigações verdes,55
97,principais,55
98,comunicação,55
99,digital,55
100,cadeia,54
101,prática,54
102,toda,54
103,fonte,54
104,presidente,54
105,milhões,53
106,soluçõe,53
107,face,53
108,bem,52
109,qualidade,52
110,ł,52
111,produto,52
112,re,51
113,economia,51
114,nova,51
115,cada,50
116,base,50
117,desde,50
118,modelo,50
119,ambiental,49
120,es,49
121,administração,49
122,maior,49
123,matéria,49
124,governo,48
125,acidente,48
126,responsabilidade,48
127,outra,48
128,fornecimento,47
129,direitos humanos,47
130,unidade,47
