,palavras,quantidade
0,cliente,102
1,gestão,60
2,empresa,59
3,gri,52
4,todo,51
5,sustentabilidade,49
6,fornecedores,46
7,trabalho,40
8,serviço,39
9,dados,38
10,segurança,37
11,colaboradores,36
12,negócio,34
13,forma,33
14,telefônica,31
15,relatório,31
16,ano,29
17,companhia,29
18,cadeia,29
19,processo,29
20,consumo,28
21,telefónica,28
22,risco,28
23,informações,27
24,milhões,27
25,ainda,27
26,compromisso,27
27,vivo,27
28,rede,26
29,impacto,26
30,energia,25
31,programa,25
32,atuação,25
33,tecnologia,25
34,valor,24
35,meio,24
36,área,23
37,projeto,23
38,além,23
39,relação,23
40,receita,22
41,objetivo,22
42,mercado,21
43,princípio,21
44,emissões,21
45,sociedade,21
46,toda,21
47,pessoas,21
48,inovação,20
49,estratégia,20
50,sobre,20
51,experiência,20
52,oportunidade,18
53,diversidade,18
54,foco,18
55,treinamento,17
56,tema,17
57,novo,17
58,saber,17
59,desde,17
60,geração,17
61,crescimento,16
62,contamos,16
63,além disso,16
64,acionista,15
65,parceria,15
66,global,15
67,redução,15
68,banda larga,15
69,acordo,15
70,móvel,15
71,outro,15
72,aumento,15
73,ética,15
74,privacidade,15
75,saúde,15
76,desenvolvimento,14
77,conta,14
78,mudança,14
79,plano,14
80,marca,14
81,resultado,14
82,relacionado,14
83,aspecto,14
84,base,14
85,acesso,14
86,outra,14
87,atendimento,14
88,parceiro,13
89,clique aqui,13
90,maior,13
91,cultura,13
92,mulheres,13
93,iniciativa,13
94,indicadores,13
95,modelo,13
96,último ano,12
97,sustentabilidade contidas,12
98,bilhões,12
99,fim,12
100,plataforma,12
101,operação,12
102,uso,12
103,fibra,12
104,equipamento,12
105,fundação telefônica,12
106,nova,12
107,cada,12
108,gases,12
109,startup,12
110,país,12
111,infraestrutura,12
112,procedimento,12
113,digitalização,11
114,dessas iniciativas,11
115,ambiente,11
116,meio dessas,11
117,operações,11
118,equipe,11
119,negócio responsável,11
120,controle,11
121,longo,11
122,œ,11
123,ações,11
124,administração,11
125,expansão,11
126,iniciativas contribuímos,11
127,wayra,11
128,conselho,11
129,prática,11
130,conteúdo,11
131,satisfação,11
132,partir,11
133,ponto,10
134,auditoria,10
135,compra,10
136,número,10
137,produto,10
138,quais,10
139,cumprimento,10
140,necessidade,10
141,governança,10
142,avaliação,10
143,evolução,10
144,energia elétrica,9
145,desenvolvimento sustentável,9
146,mil,9
147,eficiente,9
148,meta,9
149,dna vivo,9
150,política,9
151,índice,9
152,garantir,9
153,compliance,9
154,propósito,9
155,promover,9
156,sistema,9
157,responsabilidade,8
158,contratação,8
159,efeito estufa,8
160,abordagem,8
161,contrato,8
162,importante,8
163,responsável,8
164,tipo,8
165,acidente,8
166,resíduo,8
167,brasileira,8
168,queremos,8
169,mil colaboradores,8
170,meio ambiente,8
171,conexão,8
172,exemplo,8
173,contato,8
174,dia,8
175,elaboração,8
176,grande,8
177,investimento,8
178,trabalhar,8
179,economia,8
180,cada vez,8
181,asseguração limitada,8
182,stakeholders,8
183,call center,8
184,ano anterior,8
185,social,8
186,organização,8
187,fontes renováveis,8
188,vida,7
189,paulo,7
190,participação,7
191,atividade,7
192,venda,7
