eletrobras,"['http://www.eletrobraspar.com/services/DocumentManagement/FileDownload.EZTSvc.asp?DocumentID=%7BE136EA9C-35EF-430E-8D86-7A52528E684F%7D&ServiceInstUID=%7BC6EDC0EA-F664-4125-9CE8-A4946883D33F%7D', 'http://www.chesf.gov.br/sustentabilidade/Documents/Relat%C3%B3rio%20de%20Sustentabilidade%202019.pdf', 'https://acionista.com.br/wp-content/uploads/2020/08/Eletrobras_RA_2019.pdf', 'https://eletrobras2019.blendon.com.br/wp-content/uploads/2020/09/Eletrobras_RA_2019_resumido_port_297x210mm_AF-1.pdf', 'https://www.eletronuclear.gov.br/Imprensa-e-Midias/Documents/Eletronuclear_RA_2019_port_final.pdf', 'https://www.epe.gov.br/sites-pt/acesso-a-informacao/institucional/Relatrio%20de%20administrao/Relat%C3%B3rio%20Integrado%202019.pdf', 'https://s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/475982/original/Eletronorte_Relatorio_de__Sustentabilidade_2018.pdf?1561598110', 'http://engemausp.submissao.com.br/22/arquivos/15.pdf', 'http://ri.eneldistribuicaosp.com.br/Download.aspx?Arquivo=VArJdmugl4RNXQdlHOR8pA==', 'http://www.equatorialalagoas.com.br/wp-content/uploads/arquivos/Relatorio-Anual-e-de-Sustentabilidade-Eletrobras-2013.pdf', 'https://economia.estadao.com.br/fatos-relevantes/pdf/27459735.pdf']"
klabin,"['https://api.mziq.com/mzfilemanager/v2/d/1c41fa99-efe7-4e72-81dd-5b571f5aa376/148dd8f9-7279-e6be-01bc-d67b2a80725d?origin=1', 'https://rs.klabin.com.br/wp-content/uploads/2020/06/Declara%C3%A7%C3%A3o-de-Garantia_Klabin_RS2019.pdf', 'https://rs.klabin.com.br/wp-content/uploads/2020/06/klabin-RS19-impresso-PT-4.pdf', 'https://rs2018.klabin.com.br/wp-content/uploads/2019/07/Declara%C3%A7%C3%A3o-de-Garantia_Klabin_RS2018_vf.pdf', 'https://klabin.com.br/es/wp-content/uploads/sites/3/2019/10/RelatorioSustentabilidade2011.pdf', 'https://klabin.com.br/relatorio-klabin-greenbond-pt.pdf', 'https://klabin.com.br/wp-content/uploads/2021/02/Relatorio-de-Sustentabilidade-2016.pdf', 'https://doity.com.br/media/doity/submissoes/artigo-6ec7a63ead8aaa44cf0db502f230aaf951d14fd7-arquivo.pdf', 'https://engemausp.submissao.com.br/22/arquivos/651.pdf', 'https://s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/480964/original/COP2019_executive_summary_Klabin.pdf?1574703525', 'http://siteempresas.bovespa.com.br/DWL/FormDetalheDownload.asp?site=C&prot=734276']"
mrv,"['https://www.mrv.com.br/sustentabilidade/upload/Publicacoes/mrv_relatorio_sustentabilidade_2019-20200821101108.pdf', 'https://www.mrv.com.br/sustentabilidade/upload/Publicacoes/mrv-18-20190703143606.pdf', 'https://www.mrv.com.br/sustentabilidade//upload/Publicacoes/relatorio-mrv-ods-simplificado-190630-versao-03-20190702115547.pdf', 'https://www.mrv.com.br/sustentabilidade/upload/Publicacoes/relatorio_de_sustentabilidade_2017_mrv-20180625105526.pdf-20180625152838.pdf-20180628103913.pdf', 'https://www.mrv.com.br/sustentabilidade//upload/Publicacoes/visao2030-20200220110010.pdf', 'https://www.mrv.com.br/sustentabilidade/upload/Publicacoes/mrv_rs17_ing_28-06_ok-20180629164741.pdf', 'https://ri.mrv.com.br/List/Download.aspx?Arquivo=bDQhU9O4deC1KCKU4q2dZA==', 'https://mz-prod-cvm.s3.amazonaws.com/19739/IPE/2020/cd60d9ed-1f10-4339-a234-d7261e62ea12/20200610114859332701_19739_767775.pdf', 'https://economia.estadao.com.br/fatos-relevantes/getFato/27264547', 'http://engemausp.submissao.com.br/22/arquivos/260.pdf', 'https://www.institutomrv.com.br/upload/ArquivoSobre/relatorio-instituto-2019_637279231756790599.pdf']"
tim,"['https://ri.tim.com.br/Download/TIM-Relatorio-Sustentabilidade-2019?=WHdmtdXByh0vWu/8c+bJJQ==&idcanal=7K4uEYSdi63ueCEiCvWi0A==', 'http://ri.tim.com.br/Download.aspx?Arquivo=d9oYHyB29vOq817gNZUedw==', 'https://ri.tim.com.br/Download.aspx?Arquivo=qIqGs53UjwFiXVLyLpFg+w==', 'http://ri.tim.com.br/Download/TIM_Relatorio_de_Sustentabilidade_2016?=oWB/utRsQaLbtqToKUxYdg==&idcanal=7K4uEYSdi63ueCEiCvWi0A==', 'https://oifuturo.org.br/wp-content/uploads/2018/10/Oi_RSO_2018_port.pdf', 'https://jbs.com.br/wp-content/uploads/2020/05/ras-jbs-2019-port-final.pdf', 'https://www.enel.com.br/content/dam/enel-br/quemsomos/relatorios-anuais/2018/Relat%C3%B3rio_de_Sustentabilidade_Enel_no_Brasil_2018.pdf', 'http://www.b3.com.br/data/files/78/97/64/E1/665765103CC08565790D8AA8/Banco-de-dados-2016.pdf', 'http://www.irani.com.br/wp-content/uploads/2020/06/Relat%C3%B3rio-Sustentabilidade-2019.pdf', 'https://api.mziq.com/mzfilemanager/v2/d/6aebbd40-9373-4b5a-8461-9839bd41cbbb/9edaff15-a532-c76c-d8dc-73e07a1ed720?origin=1', 'https://portalepc.com.br/wp-content/uploads/2020/07/Relat%C3%B3rio-Anual-de-Sustentabilidade-2020.pdf']"
braskem,"['https://www.braskem.com/download/RI/22196', 'https://www.braskem.com.br/portal/Principal/arquivos/relatorio-anual/2019/BRASKEM_2020_portugues.pdf', 'https://www.braskem.com.br/download/RI/10331', 'https://www.braskem.com.br/Portal/Principal/arquivos/relatorio-anual/2018/2019_06_18_Braskem_RAS2018_portugues_interativo_v6.pdf', 'https://www.braskem.com.br/download/RI/21879', 'http://www.braskem.com.br/portal/Principal/arquivos/Comunidades/Relatorio_Responsabilidade_Social_2019_pt-br.pdf', 'https://www.braskem.com.br/Portal/Principal/arquivos/relatorio-anual/2017/2018-07-10-RAS2017-Braskem-PDF-interativo-portugues.pdf', 'https://www.braskem.com.br/download/RI/22030', 'http://www.braskem-ri.com.br/download/RI/22081', 'https://www.oxiteno.com.br/wp-content/uploads/2020/05/2019_RAS_Interativo.pdf', 'http://www.braskem-ri.com.br/download/RI/10330']"
copel,"['https://www.copel.com/hpcweb/wp-content/uploads/2020/06/Relat%C3%B3rio-socioambiental-GeT-2019.pdf', 'https://www.copel.com/hpcweb/download/5209/', 'https://www.copel.com/hpcweb/download/5221/', 'https://www.copel.com/hpcopel/root/nivel2.jsp?endereco=%2Fhpcopel%2Fsustentabilidade%2Fpagcopel2.nsf%2Fdocs%2F65AEA9947F00912203257CDF0068440D', 'https://www.copel.com/hpcweb/download/5212/', 'https://www.copel.com/hpcopel/root/sitearquivos2.nsf/arquivos/relatorio_desafio_sustentabilidade/$FILE/Relat%C3%B3rio_Desafio%20da%20Sustentabilidade_v5_Final.pdf', 'https://www.copel.com/hpcopel/root/sitearquivos2.nsf/arquivos/relatorio2017/$FILE/RelAnual17.pdf', 'https://www.copel.com/hpcweb/download/4348/', 'https://mz-prod-cvm.s3.amazonaws.com/14311/IPE/2020/ac03d8dd-9c51-4bce-9958-fed6ff0f5dab/20200616230407133933_14311_769651.pdf', 'http://engemausp.submissao.com.br/21/arquivos/46.pdf', 'http://www.aneel.gov.br/documents/656815/14887148/Relat%C3%B3rio+Base+2019+1T+2019+06+04.pdf/342e31ce-73e5-8acb-c926-e83684e2ab0a']"
engie,"['https://www.engie.com.br/uploads/2020/05/ENGIE_RS2019.pdf', 'https://www.engie.com.br/uploads/2019/05/ENGIE_RS18_Caderno_principal.pdf', 'https://www.engie.com.br/uploads/2018/11/RELATORIO_UHPF_2019_FINAL.pdf', 'https://www.engie.com.br/uploads/2020/02/EBE-DF-Completa-2019-2.pdf', 'https://www.engie.com.br/uploads/2018/12/RS-ENGIE_-2017_PT-sem-menu.pdf', 'https://relatoweb.com.br/engie/2016/pdf/Engie_2016.pdf', 'http://engemausp.submissao.com.br/21/arquivos/46.pdf', 'https://www.sistema.pavarini.com.br/Banco%20de%20Arquivos/DebenturesRegistro/ENGIE%20BRASIL%20ENERGIA%20SA%20-%209%20E%20-%201%20S/RAF_relatorioadm_RA_ENGIE_2019.pdf', 'http://www.pefran.com.br/empresas2012/engie_brasil_energia/legal/[32979]-engie_brasil_energia_legal_bal_anual_31-12-2018_doesc_dcsc/internet/arte/[32979]-25.pdf', 'https://novoportal.cemig.com.br/wp-content/uploads/2020/07/ras-2017.pdf', 'https://economia.estadao.com.br/fatos-relevantes/getFato/27833029']"
light,"['http://ri.light.com.br/wp-content/uploads/sites/245/2020/04/RA-Light-2019.pdf', 'https://api.mziq.com/mzfilemanager/v2/d/50b51302-4c48-4351-b296-bfcbe65fd70a/7b6b2b1d-0668-755c-c1f0-ebcfe5a3971c?origin=2', 'http://www.aneel.gov.br/documents/656815/14887148/Relat%C3%B3rio+Base+2019+1T+2019+06+04.pdf/342e31ce-73e5-8acb-c926-e83684e2ab0a', 'https://www.cemig.com.br/wp-content/uploads/2020/07/ras-2019.pdf', 'https://f.hubspotusercontent20.net/hubfs/7851874/comerc-RS2019-pt.pdf', 'https://www.enel.com.br/content/dam/enel-br/quemsomos/relatorios-anuais/2019/34_enel_sustentabilidade-digital_19_fm.pdf', 'https://www.cocacolabrasil.com.br/content/dam/journey/br/pt/private/pdfs/relatorio-de-sustentabilidade-2019.pdf', 'http://engemausp.submissao.com.br/21/arquivos/46.pdf', 'https://www.banpara.b.br/media/246864/relat_rio_de_sustentabilidade_2018_13062019.pdf', 'http://www.b3.com.br/data/files/7A/51/9D/67/02121510FE0C840592D828A8/Relate-ou-Explique-Divulgacao-2015.pdf', 'http://www.b3.com.br/data/files/F7/07/8C/C9/5B243510DF0CA135790D8AA8/GRI-G4-Manual-de-Implementacao.pdf']"
natura,"['https://static.rede.natura.net/html/home/2020/br_05/relatorio-anual/relatorio_anual_natura_2019.pdf', 'https://static.rede.natura.net/html/2019/a-natura/pdf/relatorio_anual_natura_2018.pdf', 'https://naturaeco.com/report_2019_pt.pdf', 'https://repositorio.ufu.br/bitstream/123456789/25632/3/Evolu%C3%A7%C3%A3oDivulga%C3%A7%C3%A3oInforma%C3%A7%C3%B5es.pdf', 'https://edisciplinas.usp.br/mod/resource/view.php?id=2914582', 'https://www.relatoweb.com.br/natura/13/sites/default/files/natura_2013_completo_gri.pdf', 'https://www.relatoweb.com.br/natura/13/sites/default/files/nat_gri_2012_pt_af_1704.pdf', 'https://www.institutonatura.org/relatorioanual2019/DF_Instituto_Natura_2019.pdf', 'https://cebds.org/aquasfera/wp-content/uploads/2018/11/Relatorio-anual-2017-Natura.pdf', 'http://www.anpad.org.br/diversos/down_zips/38/APS-C3013.pdf', 'https://revista.ajes.edu.br/index.php/rca/article/download/317/257']"
weg,"['https://api.mziq.com/mzfilemanager/v2/d/50c1bd3e-8ac6-42d9-884f-b9d69f690602/fdde12c1-c8b9-975d-3031-2d713a47381e?origin=1', 'http://ri-omega2020.mz-sites.com/wp-content/uploads/sites/458/2020/10/omega-relatorio-sustentabilidade-2019.pdf', 'http://static.weg.net/medias/h50/hff/RELAT-RIO-ANUAL-INTEGRADO-WEG-2016.pdf', 'https://static.weg.net/medias/h5c/hea/Relatorio-de-Sustentabilidade-WEG-2018_web.pdf', 'https://mz-filemanager.s3.amazonaws.com/50c1bd3e-8ac6-42d9-884f-b9d69f690602/relatorios-anuaiscentral-de-downloads/72c69dfd6be075a725efa2b28b07860fd35800e2f18223eed3bb492e6d909ad6/relatorio_anual_integrado_2018.pdf', 'http://periodicos.ceap.br/index.php/rcmc/article/download/42/33', 'https://www.engie.com.br/uploads/2019/05/ENGIE_RS18_Caderno_principal.pdf', 'http://www.b3.com.br/data/files/7A/51/9D/67/02121510FE0C840592D828A8/Relate-ou-Explique-Divulgacao-2015.pdf', 'https://repositorio.ufsc.br/bitstream/handle/123456789/197673/TCC%20J%C3%BAlia%20Silva%20da%20Rosa.pdf?sequence=1&isAllowed=y', 'http://siteempresas.bovespa.com.br/consbov/ArquivosExibe.asp?site=C&protocolo=679337', 'https://www.ccfb.com.br/arquivos/Fotos/CCIFB%20S%C3%A3o%20Paulo/2020/Guia%20sustentabilidade/Guia_Sustentabilidade_CCI.pdf?_t=1579795694']"
