lojas renner,"['https://www.lojasrenner.com.br/blog/assets/Instituto_Lojas_Renner_2019_web.pdf', 'https://www.lojasrennersa.com.br/conteudo/relatorio-anual-lojas-renner-2018', 'https://www.lojasrennersa.com.br/conteudo/relatorio_anual_2019.pdf', 'https://api.mziq.com/mzfilemanager/d/13154776-9416-4fce-8c46-3e54d45b03a3/bafffdbb-21dc-4a5a-9454-dd477720ebc1?origin=1', 'https://www.institutolojasrenner.org.br/Satellite?blobtable=MungoBlobs&SSURIapptype=BlobServer&SSURIcontainer=Default&blobwhere=1511898349422&ssbinary=true&SSURIsession=false&blobkey=id&blobcol=urldata&blobnocache=false&SSURIsscontext=Satellite+Server', 'http://siteempresas.bovespa.com.br/DWL/FormDetalheDownload.asp?site=C&prot=663999', 'https://mz-filemanager.s3.amazonaws.com/13154776-9416-4fce-8c46-3e54d45b03a3/file_manager/221fa669-d723-43ae-8e6c-f61733871e6c/resumo_do_relato_integrado_2018.pdf', 'http://www.b3.com.br/data/files/7A/51/9D/67/02121510FE0C840592D828A8/Relate-ou-Explique-Divulgacao-2015.pdf', 'https://esags.edu.br/wp-content/uploads/2019/06/revista-estudos-nego%CC%81cios-carreiras-do-seculo-xxi.pdf', 'https://engemausp.submissao.com.br/22/arquivos/306.pdf', 'https://economia.estadao.com.br/fatos-relevantes/getFato/27832568']"
santander,"['https://cms.santander.com.br/sites/WPS/documentos/arq-caderno-indicadores-2019/20-03-25_214457_cadernoindicadoressantander.pdf', 'https://guiadosbancosresponsaveis.org.br/media/494740/relatorio-gbr-2018-atualizado.pdf', 'https://www.cemig.com.br/wp-content/uploads/2020/07/ras-2019.pdf', 'http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2020/Fevereiro/01/empresarial/pdf/pg_0007.pdf', 'http://siteempresas.bovespa.com.br/DWL/FormDetalheDownload.asp?site=C&prot=610730', 'https://contrafcut.com.br/wp-content/uploads/2020/07/df-brgaap-1t20.pdf', 'https://www.bp.org.br/2018/balancos_sociais/relatorio_de_sustentabilidade_2018_bp.pdf', 'https://en.amecbrasil.org.br/wp-content/uploads/2016/11/relatorio-stewardship-santander-2018.pdf', 'https://www2.santandercorretora.com.br/Cache/14451102019CarteiraIbovespa.pdf', 'https://www.bradescori.com.br/wp-content/uploads/sites/541/2021/01/717_1_RELATORIO_2019_PORTUGUES.pdf', 'https://www.itau.com.br/relacoes-com-investidores/Download.aspx?Arquivo=Yj6Z+yt5cKSIrDWQCVENdg==']"
banco do brasil,"['https://www.bb.com.br/docs/portal/japao/BBRelatAnual2019.pdf', 'https://www.bb.com.br/docs/portal/bbprevidencia/Relatorio-Anual-2019.pdf', 'https://www.bb.com.br/docs/portal/dtvm/stewardship2020.pdf', 'https://www.bb.com.br/docs/pub/inst/dwn/PrevidRelatAnual2017.pdf', 'https://s3.amazonaws.com/mz-filemanager/5760dff3-15e1-4962-9e81-322a0b3d0bbd/4ae84766-e2fd-4317-80ed-0eb399a80b02_BB%20Relato%CC%81rio%20Anual%202018.pdf', 'https://www.caixa.gov.br/Downloads/caixa-relatorio-sustentabilidade/Relatorio_Sustentabilidade_Caixa_2018.pdf', 'https://cms.santander.com.br/sites/WPS/documentos/arq-caderno-indicadores-2019/20-03-25_214457_cadernoindicadoressantander.pdf', 'https://www.bnb.gov.br/documents/320335/3959651/RELAT%C3%93RIO+DE+SUSTENTABILIDADE+2019+Diagramado.pdf/aa76ad80-5b29-b181-7bab-b9305b5d90e9', 'https://ri.cielo.com.br/wp-content/uploads/sites/71/2020/05/08052020_CIELO_RS2019.pdf', 'https://www.brasilcap.com/brasilcap/downloads/RelatorioAnual2019.pdf', 'http://ri.btgpactual.com/download_arquivos.asp?id_arquivo=77C4BB57-6BDE-4FC5-A2EC-3C489AF57DF3']"
cemig,"['https://www.cemig.com.br/wp-content/uploads/2020/07/ras-2019.pdf', 'https://www.cemig.com.br/wp-content/uploads/2020/07/cemig-gt-relatorio-anual-de-responsabilidade-socioambiental-das-empresas-de-energia-eletrica-2019.pdf', 'https://novoportal.cemig.com.br/wp-content/uploads/2020/07/ras-2017.pdf', 'https://novoportal.cemig.com.br/wp-content/uploads/2020/07/cemig-d-relatorio-anual-de-responsabilidade-socioambiental-das-empresas-de-energia-eletrica-2019.pdf', 'http://relatorio2016.cemig.com.br/impressao_pt.pdf', 'https://www.cemig.com.br/wp-content/uploads/2020/08/ras-2014.pdf', 'https://www.cemig.com.br/wp-content/uploads/2020/07/carta-anual-cemig-2019.pdf', 'https://api.mziq.com/mzfilemanager/v2/d/50b51302-4c48-4351-b296-bfcbe65fd70a/7b6b2b1d-0668-755c-c1f0-ebcfe5a3971c?origin=2', 'https://celeoredesbrasil.com.br/wp-content/uploads/2019/05/__2019_06_17_Celeo_RAs2018_portugues%20(1).pdf', 'http://ri.light.com.br/wp-content/uploads/sites/245/2020/04/RA-Light-2019.pdf', 'http://www.aneel.gov.br/documents/656815/14887148/Relat%C3%B3rio+Base+2019+1T+2019+06+04.pdf/342e31ce-73e5-8acb-c926-e83684e2ab0a']"
edp,"['https://web3.cmvm.pt/sdi/emitentes/docs/CONV74817.pdf', 'https://brasil.edp.com/sites/edpbr/files/2020-04/EDP_RA2019.2.pdf', 'https://www.edp.com/sites/default/files/relatorio_de_sustentabilidade_2018_pt_0.pdf', 'http://siteempresas.bovespa.com.br/DWL/FormDetalheDownload.asp?site=C&prot=739051', 'http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2020/Fevereiro/28/empresarial/pdf/pg_0073.pdf', 'http://www.aneel.gov.br/documents/656815/14887148/Relat%C3%B3rio+Base+2019+1T+2019+06+04.pdf/342e31ce-73e5-8acb-c926-e83684e2ab0a', 'https://www.enel.com.br/content/dam/enel-br/quemsomos/relatorios-anuais/2013/sustentabilidade_2013.pdf', 'http://engemausp.submissao.com.br/21/arquivos/46.pdf', 'https://www.celesc.com.br/arquivos/relatorios/relatorio-sustentabilidade-2019.pdf', 'https://apicatalog.mziq.com/filemanager/v2/d/fdc31e8d-cd08-47c5-8b5c-3f120d561d2b/feb53126-00b1-4deb-416f-912d8e2a8295?origin=2', 'http://www.b3.com.br/data/files/7A/51/9D/67/02121510FE0C840592D828A8/Relate-ou-Explique-Divulgacao-2015.pdf']"
itaú sa,"['https://www.itau.com.br/relacoes-com-investidores/Download.aspx?Arquivo=zczRMM4ImUdgURCZaRz1Jw==', 'https://www.itau.com.br/relacoes-com-investidores/Download.aspx?Arquivo=iyds6Bgw5JKeDHAuYa64Kg==&IdCanal=M5Z9mVXb8ctdHzvh47FYhg==', 'https://www.itau.com.br/relacoes-com-investidores/Download.aspx?Arquivo=Yj6Z+yt5cKSIrDWQCVENdg==', 'https://www.itau.com.br/relacoes-com-investidores/Download.aspx?Arquivo=VTTEcjI17BGlygfr/2vAbQ==', 'https://s3.sa-east-1.amazonaws.com/static.itausa.aatb.com.br/Documentos/8214_Itausa_Relato_Integrado_2019.pdf', 'https://ri.tim.com.br/Download/TIM-Relatorio-Sustentabilidade-2019?=WHdmtdXByh0vWu/8c+bJJQ==&idcanal=7K4uEYSdi63ueCEiCvWi0A==', 'https://www.planner.com.br/wp-content/uploads/2019/02/Relat%C3%B3rio-de-An%C3%A1lise-Ita%C3%BAsa-19_02_19.pdf', 'http://www.repositorio.ufal.br/bitstream/riufal/5623/1/Relato%20Integrado%3A%20capitais%20utilizados%20pelos%20bancos%20brasileiros.pdf', 'https://www.itausa.com.br/Download/Apresentacao?=+qHZ9pcBAp2cTo5NwYwthg==', 'https://www.itausa.com.br/ListResultados/Download.aspx?Arquivo=qn/TvyS8lA1PIu4gf6kaJA==', 'https://www.duratex.com.br/Arquivos/Download/Duratex_RA_11.pdf']"
movida,"['https://mz-prod-cvm.s3.amazonaws.com/23825/IPE/2020/46f066e9-6a24-41b5-a3c6-800b6f9ba938/20200310211752755424_23825_744653.pdf', 'https://mz-prod-cvm.s3.amazonaws.com/19739/IPE/2020/cd60d9ed-1f10-4339-a234-d7261e62ea12/20200610114859332701_19739_767775.pdf', 'https://www.jsl.com.br/wp-content/uploads/2020/05/JSL_202005191728_vf.pdf', 'http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2020/Mar%C3%A7o/12/empresarial/pdf/pg_0014.pdf', 'https://ri.tim.com.br/Download/TIM-Relatorio-Sustentabilidade-2019?=WHdmtdXByh0vWu/8c+bJJQ==&idcanal=7K4uEYSdi63ueCEiCvWi0A==', 'http://ri-omega2020.mz-sites.com/wp-content/uploads/sites/458/2020/10/omega-relatorio-sustentabilidade-2019.pdf', 'https://www.cemig.com.br/wp-content/uploads/2020/07/ras-2019.pdf', 'http://www.grupoccr.com.br/ri2019/pdf/CCR_RAS_2019.pdf', 'https://ri.rd.com.br/Download.aspx?Arquivo=SMYdpW2RqW0KqW9Ve46RGA==', 'https://www.cpfl.com.br/institucional/relatorio-anual/Documents/CPFL_RelatorioAnual2019.pdf', 'https://jbs.com.br/wp-content/uploads/2020/05/ras-jbs-2019-port-final.pdf']"
telefonica,"['http://ri.telefonica.com.br/Arquivos/Relatorio_de_Sustentabilidade_2018.pdf', 'https://www.telefonica.com.br/servlet/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobkey=id&blobtable=MungoBlobs&blobwhere=1385590195161&ssbinary=true', 'https://www.telefonica.com.br/servlet/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobkey=id&blobtable=MungoBlobs&blobwhere=1385589982503&ssbinary=true', 'http://ri.telefonica.com.br/Arquivos/VIVO_ESG_2020.pdf', 'http://ri.telefonica.com.br/pt/documentos/1981-DFP-2019.pdf', 'http://ri.telefonica.com.br/Arquivos/Relatorio_de_Sustentabilidade_2019.pdf', 'https://ri.tim.com.br/Download/TIM-Relatorio-Sustentabilidade-2019?=WHdmtdXByh0vWu/8c+bJJQ==&idcanal=7K4uEYSdi63ueCEiCvWi0A==', 'http://www.internetlab.org.br/wp-content/uploads/2017/04/Telefonica_RS2015_20160810-relatorio-sustentabilidade.pdf', 'http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2020/Fevereiro/19/empresarial/pdf/pg_0022.pdf', 'https://economia.estadao.com.br/fatos-relevantes/getFato/23202633', 'https://mz-prod-cvm.s3.amazonaws.com/19739/IPE/2020/cd60d9ed-1f10-4339-a234-d7261e62ea12/20200610114859332701_19739_767775.pdf']"
bradesco,"['https://www.bradescori.com.br/wp-content/uploads/sites/541/2021/01/717_1_RELATORIO_2019_PORTUGUES.pdf', 'https://acionista.com.br/wp-content/uploads/2020/06/bradesco-relatorio-integrado-2019.pdf', 'https://www.bradescosustentabilidade.com.br/manager/uploads/file/Mudan%C3%A7as%20Clim%C3%A1ticas_Bradesco.pdf', 'http://www.kmzconteudo.com.br/wp-content/uploads/conteudo/bradesco-2016-relatoriointegrado.pdf', 'https://fundacao.bradesco/Content/Documents/Relatorio_de_atividades_2019_PT.pdf', 'http://www.b3.com.br/data/files/7A/51/9D/67/02121510FE0C840592D828A8/Relate-ou-Explique-Divulgacao-2015.pdf', 'http://www.b3.com.br/data/files/78/97/64/E1/665765103CC08565790D8AA8/Banco-de-dados-2016.pdf', 'http://www.repositorio.ufal.br/bitstream/riufal/5623/1/Relato%20Integrado%3A%20capitais%20utilizados%20pelos%20bancos%20brasileiros.pdf', 'https://www.itau.com.br/relacoes-com-investidores/Download.aspx?Arquivo=Yj6Z+yt5cKSIrDWQCVENdg==', 'https://www.banpara.b.br/media/261047/relat_rio_de_sustentabilidade.pdf', 'https://api.mziq.com/mzfilemanager/v2/d/80f2e993-0a30-421a-9470-a4d5c8ad5e9f/d0d9f89d-1afe-43bb-ad75-8362cfe875db?origin=1']"
cielo,"['https://ri.cielo.com.br/wp-content/uploads/sites/71/2020/05/08052020_CIELO_RS2019.pdf', 'https://www.cielo.com.br/assets/files/Cielo-Relatorio-de-Sustentabilidade-2018_Portugues.pdf', 'https://cielosustentabilidade.com.br/wp-content/uploads/2020/08/CIELO_RS2019_ACESSIVEL_investidores_D3.1.pdf', 'https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=760112&descTipo=IPE&CodigoInstituicao=1', 'https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=683523&descTipo=IPE&CodigoInstituicao=1', 'https://acionista.com.br/wp-content/uploads/2020/05/cielo-rel-anual-sust-2019.pdf', 'https://financenews.com.br/wp-content/uploads/2020/01/Cielo.pdf', 'http://www.kmzconteudo.com.br/wp-content/uploads/conteudo/Cielo_2017.pdf', 'https://hotsites.b2wdigital.com/relatorioanual2019', 'http://www.b3.com.br/data/files/7A/51/9D/67/02121510FE0C840592D828A8/Relate-ou-Explique-Divulgacao-2015.pdf', 'https://www.itau.com.br/relacoes-com-investidores/Download.aspx?Arquivo=Yj6Z+yt5cKSIrDWQCVENdg==']"
